Feature,Importance
target,1.0
worst area,0.1365254329813197
worst concave points,0.12614934357530663
mean concave points,0.0980377156517933
worst radius,0.09551785045307913
worst perimeter,0.07523089192260934
mean perimeter,0.0747567698982146
mean radius,0.06195395835574322
mean concavity,0.05734515997321746
mean area,0.053615310424128274
worst concavity,0.034376350101617964
area error,0.024827394678078037
worst texture,0.02023310090481634
worst compactness,0.01798035860544541
radius error,0.015708260634760027
worst smoothness,0.012257758188926993
mean texture,0.011138149295592951
mean compactness,0.010591044962811862
worst symmetry,0.009595517032097711
perimeter error,0.009341144749492696
mean smoothness,0.00789901926134464
texture error,0.007230291412759787
compactness error,0.006056567587418863
worst fractal dimension,0.005510206043669039
fractal dimension error,0.004634436143465437
